area,unidad_area,habitaciones,banos,antiguedad,unidad_antiguedad,garage,piso,ubicacion,tipo_vivienda,precio,moneda
97,m²,1,3,15,años,0,5,Barranco,Departamento,328948,Soles
319,m²,1,5,27,años,0,1,Lima Centro,Departamento,687847,Soles
298,m²,5,1,35,años,0,18,Surco,Departamento,721239,Soles
341,m²,3,1,10,años,2,14,San Isidro,Casa,886189,Soles
150,m²,7,3,6,años,0,13,Lima Centro,Casa,642741,Soles
216,m²,5,3,2,años,2,15,La Molina,Departamento,677207,Soles
80,m²,5,3,40,años,2,12,La Molina,Departamento,405774,Soles
75,m²,1,2,18,años,0,8,Lima Centro,Casa,284017,Soles
272,m²,6,3,10,años,1,12,Miraflores,Casa,877194,Soles
76,m²,5,2,34,años,2,8,Miraflores,Casa,448267,Soles
178,m²,6,5,14,años,2,11,Lima Centro,Departamento,661257,Soles
56,m²,7,3,25,años,1,3,Miraflores,Casa,456134,Soles
295,m²,4,4,9,años,1,5,Miraflores,Casa,885156,Soles
339,m²,4,5,25,años,1,8,Miraflores,Casa,922557,Soles
64,m²,7,1,9,años,2,6,Barranco,Casa,496286,Soles
72,m²,4,4,38,años,1,17,San Isidro,Departamento,394183,Soles
98,m²,6,5,17,años,2,11,Lima Centro,Casa,558292,Soles
120,m²,4,1,16,años,2,6,La Molina,Departamento,451650,Soles
192,m²,7,5,38,años,0,5,San Isidro,Departamento,664348,Soles
311,m²,1,5,20,años,1,1,Lima Centro,Casa,814187,Soles
197,m²,2,1,15,años,2,3,Lima Centro,Casa,585478,Soles
75,m²,7,5,8,años,0,16,La Molina,Departamento,455570,Soles
310,m²,7,5,27,años,0,18,Barranco,Departamento,896723,Soles
199,m²,4,3,28,años,2,15,Lima Centro,Departamento,560325,Soles
72,m²,3,1,37,años,2,8,La Molina,Departamento,260071,Soles
76,m²,6,1,14,años,0,2,San Isidro,Departamento,383295,Soles
161,m²,3,4,13,años,2,5,Barranco,Casa,596125,Soles
282,m²,7,4,12,años,0,4,Barranco,Casa,881619,Soles
256,m²,4,4,3,años,2,4,Lima Centro,Casa,805124,Soles
213,m²,7,1,15,años,0,7,La Molina,Casa,678186,Soles
256,m²,2,3,29,años,0,3,Surco,Departamento,575715,Soles
316,m²,7,1,5,años,0,6,Surco,Casa,902146,Soles
149,m²,7,4,3,años,0,13,Lima Centro,Casa,624380,Soles
272,m²,3,4,35,años,2,16,Miraflores,Departamento,716845,Soles
151,m²,1,5,34,años,0,11,Lima Centro,Departamento,408084,Soles
284,m²,5,5,10,años,0,17,Lima Centro,Departamento,747290,Soles
344,m²,1,2,25,años,0,19,Miraflores,Departamento,755991,Soles
81,m²,4,5,36,años,2,11,San Isidro,Departamento,445291,Soles
200,m²,2,3,25,años,0,10,Surco,Casa,601274,Soles
77,m²,1,4,39,años,2,4,Lima Centro,Departamento,280153,Soles
175,m²,2,3,4,años,0,12,San Isidro,Departamento,512516,Soles
318,m²,6,3,39,años,2,17,Lima Centro,Casa,911675,Soles
93,m²,2,3,7,años,0,18,Miraflores,Casa,415865,Soles
349,m²,2,3,13,años,2,9,La Molina,Casa,885257,Soles
66,m²,1,4,17,años,0,1,San Isidro,Departamento,297953,Soles
174,m²,2,4,35,años,2,14,La Molina,Departamento,486731,Soles
78,m²,6,2,34,años,0,12,La Molina,Departamento,358366,Soles
105,m²,1,3,23,años,0,12,Miraflores,Departamento,343708,Soles
92,m²,3,5,26,años,2,5,Miraflores,Departamento,445821,Soles
130,m²,4,1,11,años,2,11,Surco,Departamento,445085,Soles
121,m²,7,1,24,años,0,16,Miraflores,Departamento,498315,Soles
275,m²,3,3,14,años,0,1,Barranco,Departamento,679113,Soles
208,m²,3,1,17,años,1,17,Surco,Casa,592408,Soles
99,m²,3,2,37,años,1,2,Lima Centro,Casa,374054,Soles
200,m²,4,5,32,años,0,13,La Molina,Departamento,573693,Soles
62,m²,6,4,0,años,2,18,Barranco,Departamento,456869,Soles
260,m²,1,3,39,años,1,4,Barranco,Casa,671634,Soles
198,m²,6,4,20,años,1,10,La Molina,Departamento,629972,Soles
255,m²,6,4,11,años,2,19,San Isidro,Casa,888909,Soles
40,m²,3,3,13,años,1,19,La Molina,Casa,356073,Soles
266,m²,4,2,32,años,1,6,Barranco,Departamento,664798,Soles
303,m²,6,5,21,años,0,8,Barranco,Casa,896322,Soles
141,m²,2,1,2,años,0,16,La Molina,Departamento,397046,Soles
252,m²,6,5,12,años,2,13,Surco,Casa,855589,Soles
115,m²,6,1,6,años,1,8,Miraflores,Casa,517491,Soles
325,m²,2,1,29,años,0,15,Barranco,Casa,794696,Soles
266,m²,5,5,27,años,2,15,Miraflores,Casa,862895,Soles
172,m²,7,2,40,años,1,17,Surco,Departamento,564196,Soles
265,m²,1,3,15,años,1,11,San Isidro,Departamento,635868,Soles
117,m²,2,4,9,años,2,7,Lima Centro,Casa,479112,Soles
209,m²,5,4,26,años,0,7,Surco,Casa,716899,Soles
339,m²,6,1,36,años,1,16,Lima Centro,Casa,872369,Soles
239,m²,7,4,34,años,2,18,La Molina,Departamento,757796,Soles
152,m²,3,4,31,años,0,13,San Isidro,Casa,571259,Soles
124,m²,7,4,8,años,2,18,Lima Centro,Casa,638790,Soles
328,m²,6,1,5,años,2,14,Miraflores,Casa,935509,Soles
65,m²,3,4,20,años,0,15,San Isidro,Casa,431887,Soles
234,m²,3,4,16,años,0,16,Lima Centro,Departamento,599735,Soles
154,m²,6,1,2,años,0,8,Miraflores,Departamento,539919,Soles
118,m²,2,2,30,años,2,4,La Molina,Departamento,371076,Soles
171,m²,7,3,10,años,2,20,Barranco,Departamento,676773,Soles
123,m²,3,1,37,años,0,10,La Molina,Casa,408995,Soles
141,m²,1,5,40,años,0,4,Barranco,Casa,494724,Soles
347,m²,7,1,36,años,0,12,La Molina,Casa,932353,Soles
229,m²,1,5,21,años,0,14,Surco,Departamento,581611,Soles
225,m²,6,4,9,años,1,6,Barranco,Casa,796364,Soles
315,m²,7,4,29,años,1,19,San Isidro,Casa,1000217,Soles
165,m²,7,1,17,años,1,8,Surco,Casa,628046,Soles
54,m²,4,3,11,años,1,7,San Isidro,Casa,415904,Soles
183,m²,5,3,35,años,0,17,Miraflores,Departamento,545817,Soles
248,m²,4,5,15,años,2,16,Barranco,Casa,815571,Soles
48,m²,1,3,14,años,1,8,San Isidro,Casa,336015,Soles
323,m²,5,3,27,años,2,18,San Isidro,Casa,958462,Soles
272,m²,3,3,16,años,0,4,Barranco,Departamento,668279,Soles
101,m²,6,5,11,años,0,7,Barranco,Casa,547320,Soles
341,m²,7,5,38,años,1,4,Miraflores,Casa,991308,Soles
224,m²,2,3,0,años,2,18,Miraflores,Casa,684582,Soles
67,m²,5,3,8,años,2,16,Lima Centro,Departamento,395421,Soles
185,m²,4,4,28,años,1,6,Lima Centro,Casa,637673,Soles
284,m²,1,1,25,años,1,3,La Molina,Departamento,591543,Soles
116,m²,7,5,19,años,0,8,Lima Centro,Casa,582135,Soles
345,m²,7,5,14,años,2,13,Surco,Casa,1049087,Soles
341,m²,4,3,36,años,2,2,La Molina,Departamento,851186,Soles
146,m²,6,2,16,años,2,3,Miraflores,Departamento,533391,Soles
322,m²,1,2,0,años,1,15,Barranco,Casa,806687,Soles
56,m²,2,3,18,años,2,15,Lima Centro,Departamento,267537,Soles
341,m²,6,2,27,años,0,18,Miraflores,Departamento,891333,Soles
176,m²,7,2,4,años,0,6,San Isidro,Casa,686580,Soles
103,m²,4,3,25,años,1,17,La Molina,Casa,476688,Soles
81,m²,5,1,27,años,2,11,La Molina,Casa,411895,Soles
86,m²,2,5,37,años,0,9,La Molina,Departamento,342611,Soles
129,m²,4,5,28,años,1,6,La Molina,Casa,560001,Soles
291,m²,1,4,22,años,1,11,San Isidro,Departamento,739412,Soles
122,m²,3,4,31,años,1,13,La Molina,Departamento,424607,Soles
85,m²,3,3,20,años,0,13,La Molina,Departamento,346500,Soles
317,m²,4,4,3,años,0,17,San Isidro,Casa,923586,Soles
266,m²,7,1,13,años,1,18,Miraflores,Casa,839312,Soles
288,m²,1,1,40,años,2,8,Barranco,Departamento,625165,Soles
322,m²,1,5,26,años,0,8,Lima Centro,Casa,762498,Soles
118,m²,4,3,32,años,2,9,Surco,Casa,516147,Soles
164,m²,4,5,9,años,1,7,La Molina,Departamento,591624,Soles
75,m²,3,4,21,años,2,9,Lima Centro,Casa,436582,Soles
192,m²,7,5,37,años,2,16,Miraflores,Casa,774296,Soles
287,m²,3,3,35,años,2,13,Surco,Casa,820990,Soles
136,m²,6,2,36,años,1,8,Surco,Departamento,474852,Soles
282,m²,6,4,24,años,2,5,Surco,Departamento,793073,Soles
297,m²,5,3,6,años,1,4,La Molina,Casa,835605,Soles
113,m²,4,2,4,años,1,9,San Isidro,Casa,534387,Soles
81,m²,7,3,34,años,1,11,Barranco,Casa,534972,Soles
317,m²,1,5,4,años,0,10,Miraflores,Departamento,767240,Soles
90,m²,7,1,28,años,0,10,Lima Centro,Departamento,365658,Soles
68,m²,3,3,23,años,1,5,Miraflores,Casa,404888,Soles
132,m²,2,2,5,años,2,13,La Molina,Departamento,435615,Soles
338,m²,2,2,29,años,2,9,Surco,Casa,860502,Soles
44,m²,7,4,18,años,2,18,Miraflores,Departamento,437949,Soles
216,m²,5,3,40,años,1,9,Surco,Casa,670055,Soles
236,m²,7,4,6,años,0,13,La Molina,Casa,817670,Soles
191,m²,6,3,1,años,2,13,San Isidro,Departamento,694088,Soles
65,m²,5,4,18,años,0,20,San Isidro,Departamento,410121,Soles
137,m²,5,3,8,años,2,4,Barranco,Departamento,524446,Soles
265,m²,1,5,23,años,2,5,Lima Centro,Casa,714811,Soles
252,m²,2,2,8,años,2,12,La Molina,Casa,739025,Soles
124,m²,3,4,18,años,2,11,Lima Centro,Casa,487334,Soles
112,m²,7,2,25,años,2,12,Lima Centro,Casa,518112,Soles
175,m²,5,1,29,años,1,9,La Molina,Casa,609297,Soles
230,m²,1,2,30,años,0,20,La Molina,Casa,619982,Soles
153,m²,6,1,40,años,1,10,Barranco,Casa,546046,Soles
111,m²,1,1,19,años,1,4,Lima Centro,Departamento,316347,Soles
315,m²,2,4,29,años,1,18,Surco,Departamento,786626,Soles
252,m²,6,1,31,años,2,14,San Isidro,Departamento,740838,Soles
229,m²,2,4,28,años,0,12,Lima Centro,Casa,630882,Soles
223,m²,1,4,17,años,0,4,Surco,Departamento,564635,Soles
148,m²,6,5,1,años,0,11,Miraflores,Departamento,615575,Soles
329,m²,2,1,35,años,0,19,Miraflores,Departamento,704932,Soles
115,m²,7,5,0,años,1,5,Miraflores,Casa,668331,Soles
129,m²,1,1,8,años,0,12,Miraflores,Casa,396234,Soles
129,m²,3,1,8,años,2,14,La Molina,Departamento,450667,Soles
72,m²,4,4,23,años,2,19,Lima Centro,Casa,447219,Soles
153,m²,5,1,33,años,1,15,Barranco,Departamento,459786,Soles
285,m²,7,4,27,años,2,4,Surco,Casa,885616,Soles
81,m²,3,5,9,años,0,5,San Isidro,Casa,458962,Soles
345,m²,5,3,29,años,2,20,Surco,Departamento,913176,Soles
98,m²,7,5,13,años,1,15,Miraflores,Casa,600012,Soles
272,m²,4,4,6,años,1,14,San Isidro,Casa,840130,Soles
118,m²,6,4,4,años,0,3,Lima Centro,Casa,523328,Soles
230,m²,7,2,35,años,0,19,La Molina,Casa,747109,Soles
102,m²,4,3,27,años,2,2,San Isidro,Casa,499845,Soles
93,m²,5,5,13,años,0,16,Miraflores,Departamento,452545,Soles
324,m²,3,1,17,años,2,8,Surco,Departamento,782111,Soles
176,m²,1,2,17,años,2,10,San Isidro,Casa,535800,Soles
132,m²,7,2,36,años,2,13,Lima Centro,Departamento,519360,Soles
55,m²,1,5,13,años,1,14,Surco,Casa,349915,Soles
229,m²,3,3,36,años,2,3,Lima Centro,Departamento,565716,Soles
65,m²,6,1,17,años,1,14,Surco,Casa,432943,Soles
179,m²,2,5,7,años,1,14,Lima Centro,Casa,614447,Soles
343,m²,4,5,19,años,0,8,Surco,Departamento,831503,Soles
144,m²,3,2,8,años,1,10,San Isidro,Departamento,449106,Soles
294,m²,6,4,11,años,0,13,La Molina,Departamento,816185,Soles
326,m²,7,3,4,años,1,2,Surco,Departamento,902730,Soles
79,m²,7,3,36,años,1,19,Surco,Casa,492173,Soles
98,m²,4,1,20,años,0,20,Surco,Casa,402175,Soles
263,m²,7,1,15,años,1,19,Surco,Departamento,749536,Soles
198,m²,6,3,14,años,1,6,Lima Centro,Departamento,618173,Soles
301,m²,2,3,22,años,2,5,Miraflores,Departamento,722997,Soles
171,m²,2,2,38,años,0,3,Miraflores,Casa,501005,Soles
328,m²,7,5,28,años,2,19,Barranco,Casa,1048639,Soles
201,m²,2,4,4,años,1,15,Barranco,Casa,678188,Soles
180,m²,5,1,22,años,2,3,San Isidro,Casa,642616,Soles
59,m²,1,3,18,años,0,3,La Molina,Casa,301324,Soles
337,m²,5,1,28,años,2,7,San Isidro,Casa,924457,Soles
117,m²,1,4,6,años,1,3,La Molina,Departamento,360365,Soles
166,m²,6,4,28,años,2,17,La Molina,Departamento,599648,Soles
230,m²,3,4,26,años,1,20,Lima Centro,Casa,655119,Soles
208,m²,1,5,24,años,1,9,Barranco,Departamento,554647,Soles
81,m²,5,2,22,años,1,13,Miraflores,Departamento,381088,Soles
326,m²,4,3,8,años,2,17,Lima Centro,Casa,903124,Soles
225,m²,1,3,19,años,0,7,San Isidro,Casa,609383,Soles
155,m²,2,2,4,años,1,4,La Molina,Departamento,461780,Soles
212,m²,7,5,8,años,2,13,Miraflores,Departamento,749251,Soles
124,m²,6,4,2,años,1,12,Barranco,Departamento,546511,Soles
185,m²,7,4,14,años,2,8,San Isidro,Casa,798842,Soles
139,m²,3,5,28,años,1,10,Surco,Casa,530220,Soles
142,m²,7,5,8,años,1,2,Barranco,Casa,704886,Soles
230,m²,5,1,33,años,0,10,Lima Centro,Departamento,558277,Soles
270,m²,5,2,27,años,0,8,Surco,Casa,732747,Soles
252,m²,1,4,32,años,1,8,Surco,Departamento,603170,Soles
154,m²,1,3,6,años,2,11,Miraflores,Departamento,450310,Soles
186,m²,7,4,8,años,2,16,Surco,Departamento,724366,Soles
80,m²,1,3,13,años,0,18,Barranco,Casa,344086,Soles
187,m²,2,3,7,años,0,8,Surco,Casa,552716,Soles
96,m²,7,4,38,años,2,1,Barranco,Departamento,507090,Soles
113,m²,3,4,0,años,2,12,Miraflores,Casa,532275,Soles
83,m²,5,3,4,años,2,18,La Molina,Departamento,438588,Soles
280,m²,1,4,23,años,1,1,San Isidro,Departamento,676796,Soles
163,m²,6,1,37,años,2,11,Miraflores,Departamento,538888,Soles
319,m²,3,2,29,años,2,16,Barranco,Departamento,801382,Soles
109,m²,1,4,2,años,1,7,Lima Centro,Departamento,389451,Soles
61,m²,3,3,32,años,1,18,Surco,Casa,347199,Soles
137,m²,3,3,3,años,2,11,San Isidro,Departamento,533185,Soles
228,m²,4,4,28,años,1,11,Miraflores,Casa,742955,Soles
294,m²,3,5,17,años,0,14,Lima Centro,Casa,809482,Soles
132,m²,5,3,20,años,0,3,San Isidro,Casa,545086,Soles
268,m²,5,4,10,años,2,15,San Isidro,Casa,852175,Soles
220,m²,5,4,17,años,2,2,Lima Centro,Casa,723009,Soles
302,m²,7,2,1,años,0,20,Barranco,Casa,886680,Soles
104,m²,1,2,23,años,1,13,La Molina,Departamento,325655,Soles
118,m²,6,4,23,años,1,15,Lima Centro,Departamento,488498,Soles
227,m²,4,3,17,años,0,4,Lima Centro,Departamento,593105,Soles
305,m²,4,5,7,años,1,9,Barranco,Casa,886862,Soles
186,m²,6,4,12,años,0,5,Lima Centro,Casa,642715,Soles
267,m²,1,3,22,años,2,3,La Molina,Casa,739014,Soles
193,m²,7,2,40,años,0,12,La Molina,Departamento,562953,Soles
142,m²,7,2,15,años,1,1,San Isidro,Casa,630031,Soles
